tree_id	token_index	token
12	0	บิลเลโรฟอน
12	1	เป็น
12	2	โอรส
12	3	ของ
12	4	กลอคัส
12	5	พระราชา
12	6	แห่ง
12	7	เมือง
12	8	คอรินท์
12	9	กับ
12	10	ยูริโน
13	0	อุโบสถ
13	1	ทรงไทย
13	2	สร้าง
13	3	ปี
13	4	พ.ศ.
13	5	2470
14	0	ปัญหา
14	1	ดังกล่าว
14	2	ใน
14	3	ภายหลัง
14	4	ได้
14	5	มี
14	6	การ
14	7	ระบุ
14	8	ว่า
14	9	เป็น
14	10	ปัญหา
14	11	คันเร่ง
14	12	ค้าง
15	0	อี
15	1	ฮี-โฮ
15	2	ดำรง
15	3	ตำแหน่ง
15	4	ประธาน
15	5	ของ
15	6	ศูนย์
15	7	สันติภาพ
15	8	คิมแดจุง
16	0	เธอ
16	1	เกิด
16	2	ที่
16	3	เมือง
16	4	เคโจ
16	5	จังหวัด
16	6	เคกิ
17	0	บิดา
17	1	ของ
17	2	เขา
17	3	เคย
17	4	ถูก
17	5	ถอด
17	6	ออก
17	7	จาก
17	8	การ
17	9	สืบ
17	10	ราชสันตติวงศ์
17	11	แห่ง
17	12	สหราชอาณาจักร
18	0	นาย
18	1	สุเทพ
18	2	เทือกสุบรรณ
18	3	อดีต
18	4	เลขาธิการ
18	5	พรรค
18	6	เป็น
18	7	ผู้
18	8	จัดการ
18	9	และ
18	10	ออก
18	11	ค่า
18	12	ใช้จ่าย
18	13	เอง
18	14	ทั้งหมด
19	0	ต่อมา
19	1	เขา
19	2	ฆ่าตัวตาย
19	3	ด้วย
19	4	การ
19	5	กัด
19	6	แคปซูล
19	7	บรรจุ
19	8	ไซยาไนด์
20	0	โดยมาก
20	1	มัก
20	2	เสถียร
20	3	ต่อ
20	4	ความ
20	5	ร้อน
21	0	ปากานีนี
21	1	หัด
21	2	เล่น
21	3	ดนตรี
21	4	ตั้งแต่
21	5	อายุ
21	6	5
21	7	ปี
22	0	สุสาน
22	1	ประจำ
22	2	ตระกูล
22	3	โจว
22	4	ที่
22	5	ประเทศ
22	6	จีน
22	7	ถูก
22	8	ทำลาย
22	9	ลง
23	0	พระองค์
23	1	ได้รับ
23	2	การ
23	3	ประกาศ
23	4	ให้
23	5	เป็น
23	6	ยังดีเปอร์ตวนอากง
24	0	โดม
24	1	สามารถ
24	2	สร้าง
24	3	ได้
24	4	โดย
24	5	ใช้
24	6	คอนกรีต
24	7	หรือ
24	8	อิฐ
25	0	ส่วนใหญ่
25	1	เป็น
25	2	พืช
25	3	ล้มลุก
26	0	อิซวัน
26	1	ลง
26	2	เล่น
26	3	ให้
26	4	กับ
26	5	ทีม
26	6	ชาติ
26	7	สิงคโปร์
26	8	ครั้ง
26	9	แรก
26	10	ใน
26	11	นัด
26	12	กระชับ
26	13	มิตร
26	14	ที่
26	15	พบ
26	16	กับ
26	17	จีน
26	18	ไทเป
27	0	อำเภอ
27	1	นี้
27	2	มี
27	3	ประชากร
27	4	23,244
27	5	คน
28	0	ความ
28	1	พยายาม
28	2	ของ
28	3	ฮิเดโยชิ
28	4	ใน
28	5	การ
28	6	ยึดครอง
28	7	เกาหลี
28	8	นั้น
28	9	ล้มเหลว
29	0	ใน
29	1	ธรรมชาติ
29	2	สูง
29	3	ได้
29	4	ถึง
29	5	15
29	6	เมตร
30	0	วัด
30	1	นี้
30	2	ได้รับ
30	3	พระราชทานโปรดเกล้า
30	4	ฯ
30	5	ยก
30	6	ฐานะ
30	7	ขึ้น
30	8	เป็น
30	9	พระอาราม
30	10	หลวง
30	11	เมื่อ
30	12	วันที่
30	13	31
30	14	พฤษภาคม
30	15	พ.ศ.
30	16	2521
31	0	โอดะ
31	1	โนบูนางะ
31	2	ได้
31	3	เบน
31	4	ความ
31	5	สนใจ
31	6	ไป
31	7	ยัง
31	8	แถบ
31	9	คันโต
31	10	ใน
31	11	ทาง
31	12	ตะวันออก
32	0	เขา
32	1	เป็น
32	2	ที่
32	3	รู้จัก
32	4	กัน
32	5	ดี
32	6	ใน
32	7	บทบาท
32	8	ของ
32	9	เขา
32	10	ใน
32	11	ฐานะ
32	12	M'Baku
33	0	มี
33	1	กำหนด
33	2	จัด
33	3	ขึ้น
33	4	ที่
33	5	โซล
33	6	ประเทศ
33	7	เกาหลีใต้
34	0	รูปแบบ
34	1	ของ
34	2	อนุภาค
34	3	รังสี
34	4	ชนิด
34	5	อื่น
34	6	ๆ
34	7	อาจ
34	8	ทำให้
34	9	เกิด
34	10	การ
34	11	ย่อยสลาย
34	12	ด้วย
34	13	แสง
34	14	ได้
35	0	ใบ
35	1	หนา
35	2	เป็น
35	3	รูป
35	4	รี
35	5	ถึง
35	6	รูป
35	7	ไข่
36	0	กระทั่ง
36	1	ปลาย
36	2	ปี
36	3	พ.ศ.
36	4	2549
36	5	พระองค์เจ้า
36	6	นโรดม
36	7	มารี
36	8	รณฤทธิ์
36	9	ได้
36	10	แยก
36	11	กัน
36	12	อยู่
36	13	และ
36	14	ทรง
36	15	ฟ้องหย่า
36	16	สมเด็จกรมพระ
36	17	นโรดม
36	18	รณฤทธิ์
37	0	ผล
37	1	รูป
37	2	ไข่
37	3	ปลาย
37	4	ตัด
38	0	ตับ
38	1	จัดเป็น
38	2	ต่อม
38	3	ที่
38	4	มี
38	5	ขนาด
38	6	ใหญ่
38	7	ที่สุด
38	8	ใน
38	9	ร่างกาย
39	0	การ
39	1	เพิ่ม
39	2	ขึ้น
39	3	ของ
39	4	แบคทีเรีย
39	5	ดื้อยา
39	6	ใน
39	7	ปัจจุบัน
39	8	มี
39	9	สาเหตุ
39	10	หลัก
39	11	มา
39	12	จาก
39	13	การ
39	14	ใช้
39	15	ยา
39	16	ปฏิชีวนะ
39	17	ใน
39	18	มนุษย์
39	19	และ
39	20	สัตว์
39	21	อื่น
40	0	สงคราม
40	1	ครั้ง
40	2	นี้
40	3	มี
40	4	รากเหง้า
40	5	มา
40	6	จาก
40	7	ความ
40	8	ไม่
40	9	พอใจ
40	10	ใน
40	11	บรรดา
40	12	ขุนนาง
40	13	และ
40	14	ซามูไร
41	0	ความ
41	1	พ่ายแพ้
41	2	ใน
41	3	ยุทธการ
41	4	ที่
41	5	ฮาโกดาเตะ
41	6	ทำลาย
41	7	ที่มั่น
41	8	แห่ง
41	9	สุดท้าย
41	10	นี้
42	0	ลักษณะ
42	1	ของ
42	2	รายการ
42	3	ก็
42	4	จะ
42	5	เป็น
42	6	การ
42	7	ทาย
42	8	ปัญหา
42	9	ใน
42	10	ทุก
42	11	รูป
42	12	แบบ
43	0	ประเทศ
43	1	ญี่ปุ่น
43	2	กำลัง
43	3	ทำให้
43	4	ทันสมัย
43	5	อยู่
44	0	มี
44	1	หลักฐาน
44	2	จาก
44	3	การ
44	4	ทดลอง
44	5	ชี้
44	6	ให้
44	7	เห็น
44	8	ว่า
44	9	น้ำ
44	10	นม
44	11	คน
44	12	เป็น
44	13	แหล่ง
44	14	สาร
44	15	อาหาร
44	16	ที่
44	17	ดี
44	18	ที่สุด
44	19	สำหรับ
44	20	ทารก
45	0	แป้ง
45	1	ลางโกช
45	2	ทำ
45	3	จาก
45	4	นม
45	5	แป้ง
45	6	ยีสต์
45	7	และ
45	8	เกลือ
46	0	ประเทศ
46	1	ออสเตรเลีย
46	2	มี
46	3	การ
46	4	เก็บ
46	5	ภาษี
46	6	อยู่
46	7	3
46	8	ระดับ
46	9	คือ
46	10	รัฐบาล
46	11	รัฐ
46	12	และ
46	13	ท้องถิ่น
47	0	แป้ง
47	1	ทอด
47	2	ลางโกช
47	3	นั้น
47	4	คล้าย
47	5	กับ
47	6	ขนมปัง
47	7	ทอด
47	8	ชนิด
47	9	หนึ่ง
47	10	ของ
47	11	ชน
47	12	พื้นเมือง
47	13	อเมริกา
48	0	กลุ่ม
48	1	ดาว
48	2	นี้
48	3	อยู่
48	4	ใน
48	5	บริเวณ
48	6	ที่
48	7	เรียก
48	8	กัน
48	9	ว่า
48	10	ทะเล
48	11	ท้องฟ้า
49	0	พื้นที่
49	1	เก็บ
49	2	ของ
49	3	ใต้
49	4	ดิน
49	5	จะ
49	6	หุ้ม
49	7	ด้วย
49	8	วัสดุ
49	9	ฉนวน
49	10	กัน
49	11	การ
49	12	เสีย
49	13	ความ
49	14	ร้อน
